date,team,player,position,acquired,relinquished,notes,source,scraped_at,injury_status,injury_comment,injury_type,is_injury,is_return,processed_at
2025-08-09,UNK,Jaelan Phillips,LB,,Jaelan Phillips,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.803784,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Alec Ingold,FB,,Alec Ingold,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.803784,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Austin Jackson,G,,Austin Jackson,Status: Sep 7 - Questionable,ESPN_WEB,2025-08-09T19:18:24.803784,Sep 7,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Jalin Conyers,TE,,Jalin Conyers,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.803784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Darren Waller,TE,,Darren Waller,Status: Aug 10 - Out,ESPN_WEB,2025-08-09T19:18:24.803784,Aug 10,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tyreek Hill,WR,,Tyreek Hill,Status: Aug 10 - Questionable,ESPN_WEB,2025-08-09T19:18:24.802784,Aug 10,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Nick Hampton,LB,,Nick Hampton,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tru Edwards,WR,,Tru Edwards,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Alaric Jackson,OT,,Alaric Jackson,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kam Curl,S,,Kam Curl,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Emmanuel Forbes Jr.,CB,,Emmanuel Forbes Jr.,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.799796,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Rondale Moore,WR,,Rondale Moore,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.806785,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Mason Taylor,TE,,Mason Taylor,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tyrod Taylor,QB,,Tyrod Taylor,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Xavier Gipson,WR,,Xavier Gipson,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.822785,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tristan Wirfs,OT,,Tristan Wirfs,Status: Oct 5 - Out,ESPN_WEB,2025-08-09T19:18:24.847784,Oct 5,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Benjamin Morrison,CB,,Benjamin Morrison,Status: Aug 9 - Questionable,ESPN_WEB,2025-08-09T19:18:24.847784,Aug 9,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Marcus Banks,S,,Marcus Banks,Status: Aug 16 - Questionable,ESPN_WEB,2025-08-09T19:18:24.847784,Aug 16,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
